store_name,product_name,price
Woolworths,Apple Royal Gala Each,$0.48
Woolworths,Woolworths Royal Gala Apple 1kg Punnet,$3.50
Woolworths,Woolworths Organic Apple Royal Gala Loose Each,$1.58
Woolworths,Macro Organic Royal Gala Apple Punnet 1kg,$8.50
Coles,Coles Royal Gala Apples Loose | approx 160g,$0.88
Coles,Coles Royal Gala Apples 1Kg | 1 each,$0.88
Coles,Coles Organic Royal Gala Apples | 1kg,$5.50
IGA,Royal Gala Apples 160 gram,$0.62 avg/ea
IGA,Young Henrys Cloudy Cider Can 375 millilitre,$6.00
IGA,Somersby Apple 4.5% Bottle 6 each,$23.00
IGA,Somersby Apple Cider Bottle 24 each,$68.00
IGA,Somersby Apple Cider Can 10 each,$28.00
